Assembly accession	Name	NCBI taxonomy	GTDB taxonomy (r214)	External link 1	External link 2	Biosample accession	Bioproject accession	WGS accession	Sequencing platform	Submission date	Submitter	Title	PMID	DOI	Publish_date	Author	Geographic location	Environment	Geographic coordinates	point	Latitude	longitude	Completeness	Contamination	quality	# contigs	Largest contig	Total length	GC (%)	N50	N50	Assembly level
GCA_000960725.1	Candidatus_Magnetoovum_chiemensis_CS-04			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000960725.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_000960725.1"">GTDB</a>"	SAMN03323779	PRJNA274216	JZJI00000000	Illumina MiSeq	2015-03-23 00:00:00	Max Planck Institute for Marine Microbiology	Single-cell genomics of uncultivated deep-branching magnetotactic bacteria reveals a conserved set of magnetosome genes	26060021.0	10.1111/1462-2920.12907	2015	Sebastian Kolinko	Germany: Lake Chiemsee, Bavaria	freshwater	47.869440 N 12.398015 E	(47.8690367, 12.397835, 0.0)	47.8690367	12.397835	88.1	16.27	Low	863	43149	3721812	40.39	9961	9827	Contig
GCA_000963235.1	Candidatus_Magnetobacterium_bavaricum_TM-1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000963235.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_000963235.1"">GTDB</a>"	SAMN03324062	PRJNA274247	LACI00000000	Illumina MiSeq	2015-03-25 00:00:00	Max Planck Institute for Marine Microbiology	Cultivation-independent characterization of 'Candidatus Magnetobacterium bavaricum' via ultrastructural, geochemical, ecological and metagenomic methods	20406295.0	10.1111/j.1462-2920.2010.02220.x	2010	C Jogler	Germany: Lake Chiemsee, Bavaria	freshwater	47.869440 N 12.398015 E	(47.8690367, 12.397835, 0.0)	47.8690367	12.397835	94.09	34.5	Low	2147	67959	6087939	47.36	4856	4603	Scaffold
GCA_000968135.1	Magnetospira_sp._QH-2			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000968135.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_000968135.1"">GTDB</a>"	SAMEA3283111	PRJEB1386	-	-	2014-02-03 00:00:00	Genoscope CEA	Comparative genomic analysis provides insights into the evolution and niche adaptation of marine Magnetospira sp. QH-2 strain	23841906.0	10.1111/1462-2920.12180	2013	B Ji, et al.	Huiquan Bay, Qingdao, China	marine	36.05351148411371, 120.33710435690749	(36.0574931, 120.3318569, 0.0)	36.0574931	120.3318569	99.5	1.0	High	2	4021307	4052370	59.44	4021307	4021307	Complete Genome
GCA_001292585.1	Candidatus_Magnetomorum_sp._HK-1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001292585.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_001292585.1"">GTDB</a>"	SAMN02854536	PRJNA252699	JPDT00000000	Illumnia MiSeq	2015-09-16 00:00:00	Ludwig-Maximilians-Universitaet Munich	Single-cell genomics reveals potential for magnetite and greigite biomineralization in an uncultivated multicellular magnetotactic prokaryote	25079475.0	10.1111/1758-2229.12198	2014	Sebastian Kolinko, et al.	Germany:Wadden Sea, near Cuxhaven	marine	53.890580 N 8.678464 E	(53.88993105, 8.682073791302983, 0.0)	53.88993105	8.68207379130298	96.94	3.57	High	2715	122255	14146258	34.61	18233	17962	Contig
GCA_001303405.1	Nitrospira_bacterium_SG8_35_4			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001303405.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_001303405.1"">GTDB</a>"	SAMN03994174	PRJNA270657	LJTM00000000	Illumina	2015-09-30 00:00:00	University of Texas	Diversity and ecology of and biomineralization by magnetotactic bacteria	28557300.0	10.1111/1758-2229.12550	2017	W Lin, et al.	USA: White Oak River Estuary, North Carolina	brackish	34.7414 N 77.1234 W	(34.8496625, -76.5931208, 0.0)	34.8496625	-76.5931208	70.97	12.18	Low	292	33354	2692108	46.5	9622	9622	Contig
GCA_001303605.1	Planctomycetes_bacterium_SM23_25			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001303605.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_001303605.1"">GTDB</a>"	SAMN03994192	PRJNA270657	LJTY00000000	Illumina	2015-09-30 00:00:00	University of Texas	Diversity and ecology of and biomineralization by magnetotactic bacteria	28557300.0	10.1111/1758-2229.12550	2017	W Lin, et al.	USA: White Oak River Estuary, North Carolina	brackish	34.7414 N 77.1234 W	(34.8496625, -76.5931208, 0.0)	34.8496625	-76.5931208	62.78	3.98	Medium	418	59260	3770408	66.68	9069	9024	Scaffold
GCA_001511835.1	Magnetospirillum_sp._XM-1_XM1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001511835.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_001511835.1"">GTDB</a>"	SAMEA3682505	PRJEB11958	-	-	2016-01-07 00:00:00	IGGCAS	Complete Genome Sequence of Magnetospirillum sp. Strain XM-1, Isolated from the Xi'an City Moat, China	27795283.0	10.1128/genomeA.01171-16	2016	Yinzhao Wang	China: Xi’an City moat	freshwater	34°15′10.00″N, 108°55′13.41″E	(34.2524563, 108.9212944, 0.0)	34.2524563	108.9212944	99.5	0.0	High	2	4825187	4992477	65.67	4825187	4825187	Complete Genome
GCA_001541255.1	Candidatus_Magnetominusculus_xianensis_HCH-1	d__Bacteria;<br>p__Nitrospirae;<br>c__Nitrospira;<br>o__Nitrospirales;<br>f__Nitrospiraceae;<br>g__Candidatus Magnetominusculus;<br>s__Candidatus Magnetominusculus xianensis	d__Bacteria;<br>p__Nitrospirota;<br>c__Thermodesulfovibrionia;<br>o__Thermodesulfovibrionales;<br>f__Magnetobacteriaceae;<br>g__Magnetominusculus;<br>s__Magnetominusculus xianensis	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001541255.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_001541255.1"">GTDB</a>"	SAMN04229298	PRJNA300727	LNQR00000000	Illumina HiSeq	2016-01-26 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Origin of microbial biomineralization and magnetotaxis during the Archean	28193877.0	10.1073/pnas.1614654114	2017	W Lin, et al.	China: city moat, Xi'an	freshwater	34.25287 N 108.92187 E	(34.252492, 108.9220092, 0.0)	34.252492	108.9220092	98.18	0.91	High	152	150216	3593273	45.37	45767	45767	Contig
GCA_001650635.1	Magnetospirillum_moscoviense_BB-1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001650635.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_001650635.1"">GTDB</a>"	SAMN04851435	PRJNA318449	LWQU00000000	Illumina HiSeq	2016-05-24 00:00:00	Research Center of Biotechnology RAS	Magnetospirillum caucaseum sp. nov., Magnetospirillum marisnigri sp. nov. and Magnetospirillum moscoviense sp. nov., freshwater magnetotactic bacteria isolated from three distinct geographical locations in European Russia	26921147.0	10.1099/ijsem.0.000994	2016	Marina Dziuba	Russia: Moskva River	freshwater	55.780573740463375, 37.024957690279344	(55.78050025, 37.025024655938715, 0.0)	55.78050025	37.0250246559387	100.0	0.0	High	207	216153	4164497	65.18	52974	52974	Contig
GCA_001650715.1	Magnetospirillum_marisnigri_SP-1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001650715.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_001650715.1"">GTDB</a>"	SAMN04851434	PRJNA318445	LWQT00000000	Illumina HiSeq	2016-05-24 00:00:00	Research Center of Biotechnology RAS	Magnetospirillum caucaseum sp. nov., Magnetospirillum marisnigri sp. nov. and Magnetospirillum moscoviense sp. nov., freshwater magnetotactic bacteria isolated from three distinct geographical locations in European Russia	26921147.0	10.1099/ijsem.0.000994	2016	Marina Dziuba	Russia: Pshada River	freshwater	44.5086586572892, 38.42581006102415	(44.5027838, 38.4268038, 0.0)	44.5027838	38.4268038	100.0	0.0	High	131	318070	4619819	64.73	168256	168256	Scaffold
GCA_001746755.1	Magnetovibrio_blakemorei_MV-1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001746755.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_001746755.1"">GTDB</a>"	SAMN05467120	PRJNA335915	MCGG00000000	454; Sanger; Solexa	2016-09-26 00:00:00	Southwestern Oklahoma State University	Draft Genome Sequence of Magnetovibrio blakemorei Strain MV-1, a Marine Vibrioid Magnetotactic Bacterium	27881550.0	10.1128/genomeA.01330-16	2016	Denis Trubitsyn	USA: salt marsh pool, Neponset River estuary, Boston, MA	salt marsh	41.27 N 71.04000000 W	(39.7837304, -100.445882, 0.0)	39.7837304	-100.445882	98.51	0.5	High	91	259372	3638804	54.29	95462	95462	Contig
GCA_001804395.1	Omnitrophica_WOR_2_bacterium_GWA2_45_18	d__Bacteria;<br>p__Candidatus Omnitrophica;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Omnitrophota;<br>c__Koll11;<br>o__Zapsychrales;<br>f__Zapsychraceae;<br>g__UBA10174;<br>s__UBA10174 sp003528115	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001804395.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_001804395.1"">GTDB</a>"	SAMN04314102	PRJNA288027	MHFX00000000	Illumina HiSeq2000	2016-10-20 00:00:00	Banfield Lab, University of California, Berkeley	Genomic expansion of magnetotactic bacteria reveals an early common origin of magnetotaxis with lineage-specific evolution	29581530.0	10.1038/s41396-018-0098-9	2018	W Lin, et al.	USA: Rifle, CO	undergroud water	39.5369 N 107.7828 W	(39.536877, -107.782894, 0.0)	39.536877	-107.782894	83.99	1.08	Medium	24	365796	2335743	46.36	133212	129604	Scaffold
GCA_001805405.1	Omnitrophica_WOR_2_bacterium_GWC2_45_7	d__Bacteria;<br>p__Candidatus Omnitrophica;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Omnitrophota;<br>c__Koll11;<br>o__Zapsychrales;<br>f__Zapsychraceae;<br>g__UBA10174;<br>s__UBA10174 sp003528115	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001805405.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_001805405.1"">GTDB</a>"	SAMN04313925	PRJNA288027	MHGD00000000	Illumina HiSeq2000	2016-10-20 00:00:00	Banfield Lab, University of California, Berkeley	Genomic expansion of magnetotactic bacteria reveals an early common origin of magnetotaxis with lineage-specific evolution	29581530.0	10.1038/s41396-018-0098-9	2018	W Lin, et al.	USA: Rifle, CO	undergroud water	39.5369 N 107.7828 W	(39.536877, -107.782894, 0.0)	39.536877	-107.782894	56.31	0.0	Medium	98	60712	1340072	45.06	15451	9207	Scaffold
GCA_002105535.1	Magnetospirillum_sp._ME-1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_002105535.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_002105535.1"">GTDB</a>"	SAMN03459117	PRJNA280242	-	Illumina Hiseq 2500	2017-04-24 00:00:00	Wuhan institute of Virology, Chinese academy of science	Complete Genome Sequence of Magnetospirillum sp. ME-1, a Novel Magnetotactic Bacterium Isolated from East Lake, Wuhan, China	28839012.0	10.1128/genomeA.00485-17	2017	Linfeng Ke	China: East Lake sediment, Wuhan city	freshwater	30.55 N 114.36 E	(30.5483709, 114.36017, 0.0)	30.5483709	114.36017	99.5	0.5	High	1	4551873	4551873	65.63	4551873	4551873	Complete Genome
GCA_002109495.1	Magnetofaba_australis_IT-1			"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_002109495.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_002109495.1"">GTDB</a>"	SAMN04574817	PRJNA316067	LVJN00000000	454	2017-04-25 00:00:00	LNCC	Combined genomic and structural analyses of a cultured magnetotactic bacterium reveals its niche adaptation to a dynamic environment	27801294.0	10.1186/s12864-016-3064-9	2016	Ana Carolina Vieira Araujo	Brazil: Itaipu Lagoon, Niteroi, Rio de Janeiro State	brackish 	-22.965113915204263, -43.0432560606476	(-22.9665136, -43.0427063, 0.0)	-22.9665136	-43.0427063	98.74	0.84	High	21	1497610	4986701	61.3	705613	705613	Contig
GCA_002401485.1	Elusimicrobia_bacterium_NORP122	d__Bacteria;<br>p__Elusimicrobia;<br>c__;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Elusimicrobiota;<br>c__Elusimicrobia;<br>o__UBA1565;<br>f__UBA1565;<br>g__UBA1565;<br>s__UBA1565 sp002401485	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_002401485.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_002401485.1"">GTDB</a>"	SAMN07568936	PRJNA391950	NVTF00000000	Illumina HiSeq	2017-09-28 00:00:00	University of Southern California	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	Maria Uzun	Atlantic Ocean: North Pond	marine	1.4017327575849892, -20.174837312617733		1.401732757	-20.1748373	74.06	1.82	Medium	191	83839	2913226	54.93	19622	19622	Contig
GCA_002686765.1	Magnetovibrio_sp._ARS8	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__Thalassospiraceae;<br>g__Magnetovibrio;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales_A;<br>f__2-02-FULL-58-16;<br>g__GCA-2686765;<br>s__GCA-2686765 sp013349695	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_002686765.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_002686765.1"">GTDB</a>"	SAMN07619307	PRJNA391943	NYYL00000000	Illumina HiSeq	2017-10-24 00:00:00	Tara Oceans Consortium	Unravelling the diversity of magnetotactic bacteria through analysis of open genomic databases	32737307.0	10.1038/s41597-020-00593-0	2020	Maria Uzun	Indian Ocean:Northwest Arabian Sea Upwelling Province	marine	12.405890858821135, 63.29207681060026		12.4058908	63.292	62.87	1.0	Medium	197	30499	2019305	59.64	10605	10605	Contig
GCA_002753095.1	Magnetococcales_bacterium_YD0425bin7	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Magnetococcales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Magnetococcia;<br>o__Magnetococcales;<br>f__Magnetaquicoccaceae;<br>g__Magnetaquicoccus;<br>s__Magnetaquicoccus sp002753095	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_002753095.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_002753095.1"">GTDB</a>"	SAMN07556472	PRJNA400260	PDZU00000000	Illumina HiSeq	2017-11-06 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Genomic expansion of magnetotactic bacteria reveals an early common origin of magnetotaxis with lineage-specific evolution	29581530.0	10.1038/s41396-018-0098-9	2018	W Lin, et al.	China: Yuandadu Park	freshwater	39.974732 N 116.368688 E	(39.97443735, 116.36869950329081, 0.0)	39.97443735	116.368699503291	96.42	1.68	High	177	136300	3583729	55.67	34600	34416	Scaffold
GCA_002753105.1	Deltaproteobacteria_bacterium_YD0425bin50	d__Bacteria;<br>p__Proteobacteria;<br>c__Deltaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Desulfobacterota;<br>c__Desulfobacteria;<br>o__Desulfobacterales;<br>f__YD0425bin50;<br>g__YD0425bin50;<br>s__YD0425bin50 sp002753105	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_002753105.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_002753105.1"">GTDB</a>"	SAMN07572860	PRJNA400260	PDZT00000000	Illumina HiSeq	2017-11-06 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Genomic expansion of magnetotactic bacteria reveals an early common origin of magnetotaxis with lineage-specific evolution	29581530.0	10.1038/s41396-018-0098-9	2018	W Lin, et al.	China: Yuandadu Park	freshwater	39.974732 N 116.368688 E	(39.97443735, 116.36869950329081, 0.0)	39.97443735	116.368699503291	80.69	2.26	Medium	589	77707	4970345	36.91	11398	11272	Scaffold
GCA_002753135.1	Magnetococcales_bacterium_WMHbinv6	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__Magnetococcales;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Magnetococcia;<br>o__Magnetococcales;<br>f__Magnetaquicoccaceae;<br>g__Magnetaquicoccus;<br>s__Magnetaquicoccus sp002753135	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_002753135.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_002753135.1"">GTDB</a>"	SAMN07572859	PRJNA400260	PDZV00000000	Illumina HiSeq	2017-11-06 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Genomic expansion of magnetotactic bacteria reveals an early common origin of magnetotaxis with lineage-specific evolution	29581530.0	10.1038/s41396-018-0098-9	2018	W Lin, et al.	China: Lake Weiming	freshwater	39.993142 N 116.30256 E	(39.99171495, 116.30393496863539, 0.0)	39.99171495	116.303934968635	95.8	2.52	High	80	243428	3839927	55.32	85378	69641	Scaffold
GCA_002753155.1	Alphaproteobacteria_bacterium_WMHbin7	d__Bacteria;<br>p__Proteobacteria;<br>c__Alphaproteobacteria;<br>o__;<br>f__;<br>g__;<br>s__	d__Bacteria;<br>p__Pseudomonadota;<br>c__Alphaproteobacteria;<br>o__Rhodospirillales;<br>f__WMHbin7;<br>g__WMHbin7;<br>s__WMHbin7 sp002753155	"<a href=""https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_002753155.1"">NCBI</a>"	"<a href=""https://gtdb.ecogenomic.org/genome?gid=GCA_002753155.1"">GTDB</a>"	SAMN07572858	PRJNA400260	PDZW00000000	Illumina HiSeq	2017-11-06 00:00:00	Institute of Geology and Geophysics, Chinese Academy of Sciences	Genomic expansion of magnetotactic bacteria reveals an early common origin of magnetotaxis with lineage-specific evolution	29581530.0	10.1038/s41396-018-0098-9	2018	W Lin, et al.	China: Lake Weiming	freshwater	39.993142 N 116.30256 E	(39.99171495, 116.30393496863539, 0.0)	39.99171495	116.303934968635	91.54	0.12	High	73	147057	2984788	59.84	91589	91589	Scaffold
